model,step,score,reward,fires
Dueling Double DQN,89776,-54.0,-164.27976674263903,27
Dueling Double DQN,90005,-52.0,-162.29159974898002,36
Dueling Double DQN,90234,-60.0,-170.28744829701748,30
Dueling Double DQN,90463,-76.0,-186.28988647030178,38
Dueling Double DQN,90692,-46.0,-156.3141949553694,23
Dueling Double DQN,90921,-68.0,-178.30050849171693,34
Dueling Double DQN,91150,-64.0,-174.29525308078559,32
Dueling Double DQN,91379,-44.0,-154.25622735839832,22
Dueling Double DQN,91610,-40.0,-150.85471638542606,30
Dueling Double DQN,91839,-68.0,-178.2911179875673,34
Dueling Double DQN,92068,-90.0,-200.26120408098495,45
Dueling Double DQN,92297,-74.0,-184.27815796942838,37
Dueling Double DQN,92526,-70.0,-180.27935421282447,35
Dueling Double DQN,92755,-34.0,-144.2940546530474,27
Dueling Double DQN,92984,-74.0,-184.3111027863717,37
Dueling Double DQN,93213,-98.0,-208.30996066072544,49
Dueling Double DQN,93442,-70.0,-180.28468949286784,45
Dueling Double DQN,93671,-44.0,-154.28228656812652,32
Dueling Double DQN,93900,-42.0,-152.2983895592101,31
Dueling Double DQN,94129,-74.0,-184.2696491445509,47
Dueling Double DQN,94358,-46.0,-156.29682638998463,23
Dueling Double DQN,94587,-58.0,-168.30022372699835,29
Dueling Double DQN,94816,-60.0,-170.27011687048122,30
Dueling Double DQN,95045,-56.0,-166.29133685824874,38
Dueling Double DQN,95274,-60.0,-170.3044813587602,30
Dueling Double DQN,95503,-48.0,-158.30236037201186,34
Dueling Double DQN,95732,-68.0,-178.30377628409815,34
Dueling Double DQN,95961,-72.0,-182.3053949118559,36
Dueling Double DQN,96190,-32.0,-142.27594268141087,26
Dueling Double DQN,96419,-54.0,-164.29015020944425,27
Dueling Double DQN,96648,-52.0,-162.28934081086913,26
Dueling Double DQN,96877,-30.0,-140.30419423753932,25
Dueling Double DQN,97106,-58.0,-168.29368375085826,39
Dueling Double DQN,97335,-74.0,-184.2825682860185,37
Dueling Double DQN,97564,-48.0,-158.284653268295,34
Dueling Double DQN,97793,-90.0,-200.28966918451684,45
Dueling Double DQN,98022,-74.0,-184.30899502637175,37
Dueling Double DQN,98251,-64.0,-174.2719822639466,32
Dueling Double DQN,98480,-78.0,-188.2997673502972,39
Dueling Double DQN,98709,-64.0,-174.31230868057753,32
